province,month,mean_sunshine,temperature,lat,sunshine_hours,t_amb
Guangxi,4,95.59365921020508,21.4562255859375,22.8,,
Guangxi,8,185.59211120605468,27.14066772460937,22.8,,
Guangxi,12,95.66677398681641,12.836663818359375,22.8,,
Guangxi,2,49.13416748046875,13.223252868652343,22.8,,
Guangxi,1,61.937418937683105,10.375658416748049,22.8,,
Guangxi,7,179.47449951171876,26.834091186523438,22.8,,
Guangxi,6,130.77471008300782,26.469296264648438,22.8,,
Guangxi,3,51.6709602355957,15.576116943359375,22.8,,
Guangxi,5,129.67392578125,23.822825622558597,22.8,,
Guangxi,11,99.15312957763672,17.6850830078125,22.8,,
Guangxi,10,155.51483764648438,20.697369384765626,22.8,,
Guangxi,9,153.9834014892578,25.105470275878904,22.8,,
Guizhou,4,109.20266265869141,16.877456665039062,26.6,,
Guizhou,8,173.31572418212892,23.24405670166016,26.6,,
Guizhou,12,49.26437263488769,7.021345520019532,26.6,,
Guizhou,2,57.540737533569335,7.962708282470703,26.6,,
Guizhou,1,49.76200428009033,4.899802398681641,26.6,,
Guizhou,7,164.50210571289062,23.291716003417967,26.6,,
Guizhou,6,94.35490036010742,21.478923034667968,26.6,,
Guizhou,3,84.21932220458984,10.828907012939451,26.6,,
Guizhou,5,115.03717651367188,18.88905487060547,26.6,,
Guizhou,11,67.4096664428711,11.614289093017579,26.6,,
Guizhou,10,102.21725921630859,14.870506286621094,26.6,,
Guizhou,9,104.94979782104492,20.161589050292967,26.6,,
Hainan,4,184.05498962402345,25.939639282226562,20.0,,
Hainan,8,224.18606872558593,27.995712280273438,20.0,,
Hainan,12,110.48622131347656,20.074249267578125,20.0,,
Hainan,2,115.96932983398438,20.352568054199217,20.0,,
Hainan,1,123.97167510986328,18.360679626464844,20.0,,
Hainan,7,213.24963989257813,27.72730712890625,20.0,,
Hainan,6,218.30567321777343,28.735577392578126,20.0,,
Hainan,3,141.64217376708984,22.14300994873047,20.0,,
Hainan,5,239.34287719726564,27.369021606445312,20.0,,
Hainan,11,144.9113311767578,23.164422607421876,20.0,,
Hainan,10,179.63558044433594,24.46739654541016,20.0,,
Hainan,9,182.38870544433593,26.885391235351562,20.0,,
Hebei,4,240.39128723144532,13.029751586914063,38.0,,
Hebei,8,217.2382385253906,22.203707885742187,38.0,,
Hebei,12,170.36828002929687,-4.506171417236328,38.0,,
Hebei,2,159.73011016845703,-0.7939982414245604,38.0,,
Hebei,1,177.1447509765625,-6.3177135467529295,38.0,,
Hebei,7,201.00984802246094,23.71125183105469,38.0,,
Hebei,6,207.61217041015624,22.85630645751953,38.0,,
Hebei,3,238.07948303222656,4.19384765625,38.0,,
Hebei,5,265.28082885742185,17.78436737060547,38.0,,
Hebei,11,148.89405975341796,3.2394786834716798,38.0,,
Hebei,10,196.78224487304686,11.176435089111328,38.0,,
Hebei,9,187.9111114501953,18.09652404785156,38.0,,
Heilongjiang,4,233.45223693847657,4.370815277099609,45.8,,
Heilongjiang,8,206.1033142089844,18.72813873291016,45.8,,
Heilongjiang,12,136.1480682373047,-19.49730987548828,45.8,,
Heilongjiang,2,187.48427734375,-14.880239868164063,45.8,,
Heilongjiang,1,166.220654296875,-19.53003387451172,45.8,,
Heilongjiang,7,207.75781860351563,20.869456481933597,45.8,,
Heilongjiang,6,223.85967712402345,20.000717163085934,45.8,,
Heilongjiang,3,248.06068725585936,-6.7219482421875,45.8,,
Heilongjiang,5,212.31400146484376,11.58141860961914,45.8,,
Heilongjiang,11,145.2545608520508,-5.544156646728516,45.8,,
Heilongjiang,10,179.48040161132812,4.512948608398437,45.8,,
Heilongjiang,9,214.01560668945314,13.47144775390625,45.8,,
Henan,4,197.81544494628906,17.63145751953125,34.8,,
Henan,8,172.99615783691405,25.112648010253903,34.8,,
Henan,12,133.2074722290039,3.6437610626220702,34.8,,
Henan,2,92.32911758422851,6.681964111328125,34.8,,
Henan,1,114.36152801513671,1.4950071334838868,34.8,,
Henan,7,187.80111999511718,26.966934204101562,34.8,,
Henan,6,164.83323516845704,25.008448791503902,34.8,,
Henan,3,164.9514892578125,10.169644927978515,34.8,,
Henan,5,194.7528289794922,21.03388519287109,34.8,,
Henan,11,106.92197494506836,10.137274169921877,34.8,,
Henan,10,152.83388977050782,15.575959777832031,34.8,,
Henan,9,128.19479217529297,21.303961181640624,34.8,,
Hong Kong,4,120.92387619018555,22.48192138671875,22.3,,
Hong Kong,8,215.8584228515625,28.041958618164063,22.3,,
Hong Kong,12,140.0466293334961,17.00865783691406,22.3,,
Hong Kong,2,97.27893447875977,16.137297058105467,22.3,,
Hong Kong,1,162.94690856933593,14.25927734375,22.3,,
Hong Kong,7,213.52415771484374,27.556137084960938,22.3,,
Hong Kong,6,193.38988647460934,27.458514404296874,22.3,,
Hong Kong,3,91.54129333496094,17.852902221679688,22.3,,
Hong Kong,5,134.27752685546875,25.510560607910158,22.3,,
Hong Kong,11,143.38146057128907,21.240533447265626,22.3,,
Hong Kong,10,201.3154510498047,23.373263549804687,22.3,,
Hong Kong,9,197.8755645751953,26.703329467773436,22.3,,
Hubei,4,151.90477600097657,17.9261474609375,30.6,,
Hubei,8,195.30887756347656,25.390301513671876,30.6,,
Hubei,12,111.116064453125,5.832083892822266,30.6,,
Hubei,2,68.66821365356445,8.717741394042969,30.6,,
Hubei,1,94.48395233154297,3.458177947998047,30.6,,
Hubei,7,204.7956085205078,26.83979187011719,30.6,,
Hubei,6,132.51364135742188,23.785494995117187,30.6,,
Hubei,3,127.09225158691406,10.685741424560549,30.6,,
Hubei,5,149.8687713623047,20.809663391113283,30.6,,
Hubei,11,92.92709426879883,12.035160064697266,30.6,,
Hubei,10,143.0624542236328,16.445864868164062,30.6,,
Hubei,9,124.63130950927734,21.88318328857422,30.6,,
Hunan,4,98.9794937133789,18.674824523925782,28.2,,
Hunan,8,189.16332397460937,26.5592041015625,28.2,,
Hunan,12,85.74539184570312,7.89398193359375,28.2,,
Hunan,2,45.20473098754883,9.628070068359376,28.2,,
Hunan,1,64.83084716796876,5.18125,28.2,,
Hunan,7,215.5158721923828,27.279849243164062,28.2,,
Hunan,6,117.58918762207031,24.702066040039064,28.2,,
Hunan,3,69.659619140625,11.4417724609375,28.2,,
Hunan,5,109.81373596191406,21.628804016113282,28.2,,
Hunan,11,80.72712554931641,13.711271667480469,28.2,,
Hunan,10,134.81662139892578,17.670803833007813,28.2,,
Hunan,9,122.13412780761719,23.28116607666016,28.2,,
Inner Mongolia,4,276.82911987304686,7.826100921630859,40.8,,
Inner Mongolia,8,271.2783569335937,19.38065185546875,40.8,,
